|Time (s)|Event|Eff.Win. (MSS)|cwnd (MSS)|RTT (s)|sRTT (s)|TOut (s)
|--------|-----|--------------|----------|-------|--------|-------|
112.83|TimeOut: 3 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
112.84|Sent Retrans: 2 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
113.85|Sent Retrans: 3 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
113.87|TimeOut: 4 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
114.87|TimeOut: 5 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
114.93|Sent Retrans: 4 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
115.86|TimeOut: 6 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
115.93|Sent Retrans: 5 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
116.82|TimeOut: 7 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
116.91|Sent Retrans: 6 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
117.87|Sent Retrans: 7 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
117.88|TimeOut: 8 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
118.90|TimeOut: 9 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
118.93|Sent Retrans: 8 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
119.90|TimeOut: 10 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
119.95|Sent Retrans: 9 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
120.89|TimeOut: 11 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
120.94|Sent Retrans: 10 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
121.76|TimeOut: 1 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
121.84|TimeOut: 12 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
121.93|Sent Retrans: 11 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
122.80|Sent Retrans: 1 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
122.88|TimeOut: 2 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
122.89|Sent Retrans: 12 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
123.90|TimeOut: 3 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
123.93|Sent Retrans: 2 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
124.93|Sent Retrans: 3 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
124.96|TimeOut: 4 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
125.99|Sent Retrans: 4 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
125.98|TimeOut: 5 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
126.94|TimeOut: 6 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
127.04|Sent Retrans: 5 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
127.93|TimeOut: 7 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
127.99|Sent Retrans: 6 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
128.97|Sent Retrans: 7 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
128.99|TimeOut: 8 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
130.02|Sent Retrans: 8 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
130.01|TimeOut: 9 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
130.99|TimeOut: 10 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
131.08|Sent Retrans: 9 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
131.98|TimeOut: 11 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
132.03|Sent Retrans: 10 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
132.85|TimeOut: 1 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
132.94|TimeOut: 12 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
133.02|Sent Retrans: 11 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
133.89|Sent Retrans: 1 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
133.99|TimeOut: 2 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
134.00|Sent Retrans: 12 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
134.98|TimeOut: 3 	|-12 	|1 	|10.00 	|10.00 	|10.00 	
