   5.02 M-V:  0.003 fd=   0 aq=    0KB vq=   21KB sq=    0B f=0/0   
   5.05 M-V:  0.003 fd=   0 aq=    0KB vq=   19KB sq=    0B f=0/0   
   5.08 M-V:  0.003 fd=   0 aq=    0KB vq=   29KB sq=    0B f=0/0   
   5.12 M-V:  0.003 fd=   0 aq=    0KB vq=   22KB sq=    0B f=0/0   
   5.15 M-V:  0.003 fd=   0 aq=    0KB vq=   21KB sq=    0B f=0/0   
   5.18 M-V:  0.003 fd=   0 aq=    0KB vq=   21KB sq=    0B f=0/0   
   5.21 M-V:  0.003 fd=   0 aq=    0KB vq=   21KB sq=    0B f=0/0   
   5.24 M-V:  0.003 fd=   0 aq=    0KB vq=   29KB sq=    0B f=0/0   
   5.27 M-V:  0.003 fd=   0 aq=    0KB vq=   21KB sq=    0B f=0/0   
   5.30 M-V:  0.003 fd=   0 aq=    0KB vq=   22KB sq=    0B f=0/0   
   5.34 M-V:  0.003 fd=   0 aq=    0KB vq=   22KB sq=    0B f=0/0   
   5.37 M-V:  0.003 fd=   0 aq=    0KB vq=   22KB sq=    0B f=0/0   
   5.40 M-V:  0.003 fd=   0 aq=    0KB vq=   31KB sq=    0B f=0/0   
   5.43 M-V:  0.003 fd=   0 aq=    0KB vq=   23KB sq=    0B f=0/0   
   5.46 M-V:  0.003 fd=   0 aq=    0KB vq=   24KB sq=    0B f=0/0   
   5.49 M-V:  0.003 fd=   0 aq=    0KB vq=   23KB sq=    0B f=0/0   
   5.52 M-V:  0.003 fd=   0 aq=    0KB vq=   23KB sq=    0B f=0/0   
   5.55 M-V:  0.003 fd=   0 aq=    0KB vq=   22KB sq=    0B f=0/0   
   5.59 M-V:  0.003 fd=   0 aq=    0KB vq=   33KB sq=    0B f=0/0   
   5.62 M-V:  0.003 fd=   0 aq=    0KB vq=   24KB sq=    0B f=0/0   
   5.65 M-V:  0.003 fd=   0 aq=    0KB vq=   24KB sq=    0B f=0/0   
   5.68 M-V:  0.003 fd=   0 aq=    0KB vq=   23KB sq=    0B f=0/0   
   5.71 M-V:  0.003 fd=   0 aq=    0KB vq=   23KB sq=    0B f=0/0   
   5.74 M-V:  0.003 fd=   0 aq=    0KB vq=   22KB sq=    0B f=0/0   
   5.77 M-V:  0.003 fd=   0 aq=    0KB vq=   12KB sq=    0B f=0/0   
   5.80 M-V:  0.003 fd=   0 aq=    0KB vq=   12KB sq=    0B f=0/0   
   5.84 M-V:  0.003 fd=   0 aq=    0KB vq=   12KB sq=    0B f=0/0   
   5.87 M-V:  0.003 fd=   0 aq=    0KB vq=   11KB sq=    0B f=0/0   
   5.90 M-V:  0.003 fd=   0 aq=    0KB vq=   42KB sq=    0B f=0/0   
   5.93 M-V:  0.003 fd=   0 aq=    0KB vq=   32KB sq=    0B f=0/0   
   5.96 M-V:  0.003 fd=   0 aq=    0KB vq=   32KB sq=    0B f=0/0   
   5.99 M-V:  0.003 fd=   0 aq=    0KB vq=   42KB sq=    0B f=0/0   
   6.02 M-V:  0.003 fd=   0 aq=    0KB vq=   42KB sq=    0B f=0/0   
   6.06 M-V:  0.003 fd=   0 aq=    0KB vq=   42KB sq=    0B f=0/0   
   6.09 M-V:  0.003 fd=   0 aq=    0KB vq=   42KB sq=    0B f=0/0   
   6.12 M-V:  0.003 fd=   0 aq=    0KB vq=   26KB sq=    0B f=0/0   
   6.15 M-V:  0.003 fd=   0 aq=    0KB vq=   26KB sq=    0B f=0/0   
   6.18 M-V:  0.003 fd=   0 aq=    0KB vq=   26KB sq=    0B f=0/0   
